2018-08-06 13:47:33 startup archives unpack
2018-08-06 13:47:33 install libpcap0.8:armhf <none> 1.8.1-3
2018-08-06 13:47:33 status triggers-pending libc-bin:armhf 2.24-11+deb9u3
2018-08-06 13:47:33 status half-installed libpcap0.8:armhf 1.8.1-3
2018-08-06 13:47:33 status unpacked libpcap0.8:armhf 1.8.1-3
2018-08-06 13:47:33 status unpacked libpcap0.8:armhf 1.8.1-3
2018-08-06 13:47:33 install ppp:armhf <none> 2.4.7-1+4
2018-08-06 13:47:33 status half-installed ppp:armhf 2.4.7-1+4
2018-08-06 13:47:33 status triggers-pending systemd:armhf 232-25+deb9u4
2018-08-06 13:47:34 status unpacked ppp:armhf 2.4.7-1+4
2018-08-06 13:47:34 status unpacked ppp:armhf 2.4.7-1+4
2018-08-06 13:47:34 startup packages configure
2018-08-06 13:47:34 trigproc libc-bin:armhf 2.24-11+deb9u3 <none>
2018-08-06 13:47:34 status half-configured libc-bin:armhf 2.24-11+deb9u3
2018-08-06 13:47:34 status installed libc-bin:armhf 2.24-11+deb9u3
2018-08-06 13:47:34 trigproc systemd:armhf 232-25+deb9u4 <none>
2018-08-06 13:47:34 status half-configured systemd:armhf 232-25+deb9u4
2018-08-06 13:47:34 status installed systemd:armhf 232-25+deb9u4
2018-08-06 13:47:34 configure libpcap0.8:armhf 1.8.1-3 <none>
2018-08-06 13:47:34 status triggers-pending libc-bin:armhf 2.24-11+deb9u3
2018-08-06 13:47:34 status unpacked libpcap0.8:armhf 1.8.1-3
2018-08-06 13:47:34 status half-configured libpcap0.8:armhf 1.8.1-3
2018-08-06 13:47:34 status installed libpcap0.8:armhf 1.8.1-3
2018-08-06 13:47:34 configure ppp:armhf 2.4.7-1+4 <none>
2018-08-06 13:47:34 status unpacked ppp:armhf 2.4.7-1+4
2018-08-06 13:47:34 status unpacked ppp:armhf 2.4.7-1+4
2018-08-06 13:47:34 status unpacked ppp:armhf 2.4.7-1+4
2018-08-06 13:47:34 status triggers-pending systemd:armhf 232-25+deb9u4
2018-08-06 13:47:34 status unpacked ppp:armhf 2.4.7-1+4
2018-08-06 13:47:34 status unpacked ppp:armhf 2.4.7-1+4
2018-08-06 13:47:34 status unpacked ppp:armhf 2.4.7-1+4
2018-08-06 13:47:34 status unpacked ppp:armhf 2.4.7-1+4
2018-08-06 13:47:34 status unpacked ppp:armhf 2.4.7-1+4
2018-08-06 13:47:34 status unpacked ppp:armhf 2.4.7-1+4
2018-08-06 13:47:34 status unpacked ppp:armhf 2.4.7-1+4
2018-08-06 13:47:34 status unpacked ppp:armhf 2.4.7-1+4
